UserScreenName,UserName,Timestamp,Text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Jayden Cook,@JaydenCookMo19,2020-01-01T11:17:39.000Z,"It about to be #NewYearsEve2020 !! 
 The year of re-electing the most awesome #President in #americanhistory & building more wall to #makeAmericasafe 
!!! Are you ready for an epic year for #America?!?!?. #MAGA #KAG",🍾 🥂 🦅,,,5,https://abs-0.twimg.com/emoji/v2/svg/1f37e.svg,https://twitter.com/JaydenCookMo19/status/1212332048318451715
Biz-Insights IT Solutions,@BizInsightsIT,2020-01-01T08:10:36.000Z,"Grow your business digitally with Biz-Insights in 2020.
One stop IT Solutions.
#focus #good #quality #lower #cost #appdesign #graphics #datascience #DataAnalysis #webdeveloper #uiuxdesign #CloudComputing #BizInsights #One #Stop #IT #Solutions #Surat #Gujarat at #Indian #America",,,2,3,https://pbs.twimg.com/media/ENLmwIKVAAAARix?format=jpg&name=small,https://twitter.com/BizInsightsIT/status/1212284978051993600
Franklin Graham,@Franklin_Graham,2020-01-01T00:30:58.000Z,"This prayer for the new year from my father 
@BillyGraham
 was provided to The Saturday Evening Post in 2008 but is just as relevant today, more than a decade later, as it was then.Billy Graham's Prayer for a New Year
""Help us to humbly put our hands into Your hand, and to trust You and to seek Your will for our lives during this coming year.""
billygraham.org",,99,910,3.4K,https://pbs.twimg.com/card_img/1350045573534130176/BtTloJSP?format=jpg&name=small,https://twitter.com/Franklin_Graham/status/1212169305296658434
... to the edge,@TiknisArts,2020-01-01T00:36:13.000Z,And this quote is from him too! #happynewyear2020 #America is great when America is good!,,,1,5,https://pbs.twimg.com/media/ENJ-wBVXYAEWXh0?format=jpg&name=small,https://twitter.com/TiknisArts/status/1212170626875699207
Leanne Baker,@Leanne_Baker_,2020-01-01T16:26:31.000Z,"Wearing crocs to breakfast
#nonce #america ",✨ 🤔 😂 😂 😂 😂,3,1,15,https://abs-0.twimg.com/emoji/v2/svg/1f914.svg,https://twitter.com/Leanne_Baker_/status/1212409777994645504
Tracy Prell,@tracy_karin,2020-01-01T18:46:05.000Z,"I have no doubt that this #NewDecade will usher in *Exciting* times for #America's #SpaceProgram!
#ULA #Boeing #Starliner #ISS #CrewSpaceTransportation  #KSC #SpaceInspires #NASASocial #KSC #CCDev #CCAFS #SciComm 

#HappyNewYear2020 Quote Tweet
Tracy Prell
@tracy_karin
 · Dec 26, 2019
Replying to @NASASocial @JimBridenstine and 6 others
Our #CST100 #NASASocial #Family was Thrilled 2 
@JimBridenstine @jmorhard #Astronauts Butch Wilmore @Astro_CabanaBob & @ulalaunch's CEO @torybruno @ #CCAFS #SLC41 day prior to launch of #Starliner aboard the Powerful #AtlasV N22 #Rocket!
#WeLoveSpace #WeLoveOurSpaceFamily",🚀 🚀 🚀 🍾 👀 🚀 🤩 🚀,2,2,19,https://abs-0.twimg.com/emoji/v2/svg/1f680.svg,https://twitter.com/tracy_karin/status/1212444900429570055
Amriana,@amriana,2020-01-01T21:30:26.000Z,"Stupidity is very dangerous thing.
The pig has got to go. 
#America needs to do a major clean up!!! 
Need to "" Weed your gardens #America!!! ""
#FailedGOP45PenceQuote Tweet
Michael
#BidenHarris2020
@mterr337
 · Jan 1, 2020
How did we get to this place where we have the most dangerous President, the most dangerous Attorney General, and the most dangerous Senate Majority Leader in the history of our country at the same time?

https://newsweek.com/bill-barr-most-dangerous-attorney-general-us-history-richard-w-painter-religious-extremism-1479858…",🌊 🧢 🌊,,7,7,https://pbs.twimg.com/profile_images/1318946992291151873/kp0B31SS_mini.png,https://twitter.com/amriana/status/1212486261476384768
Game of Data,@GameofData1,2020-01-01T21:38:19.000Z,"Video: https://youtu.be/pHF7fK3Kz5U

#NASA #ISRO #ISROMissions #cnsa #ESA #space #Budget2020 #budget #Rockets
 #IndianAirForce #America #moon #GalaxyAxTEMPT #DLR #AsimRiyaz #roscosmos #Russia #ChinaUS #Area51 #spacex #Chandrayaan2 #France #Europe #England #budgetfornewindia #money",,,3,6,https://abs.twimg.com/hashflags/NBA_2021_Teams_Rockets/NBA_2021_Teams_Rockets.png,https://twitter.com/GameofData1/status/1212488245541367809
𝐃𝐞𝐦𝐚𝐧𝐝 𝐓𝐡𝐞 𝐓𝐫𝐮𝐭𝐡,@essenviews,2020-01-01T13:08:06.000Z,"Trump insists Kim Jong-un is a ""man of his word"" despite North Korea ramping up nuclear program - “He likes me, I like him, we get along""Trump insists Kim Jong-un is a ‘man of his word’ despite North Korea ramping up nuclear programme
US president says he ‘gets along’ with dictator, and claims he would win 2020 election easily if media were ‘honourable’ in remarks at new year’s party
independent.co.uk",,373,394,441,,https://twitter.com/essenviews/status/1212359844168007682
MD WTH are we doing?,@maryderrickart,2020-01-01T16:19:23.000Z,"#America there you have it from his own mouth....
Donald Trump sees himself & KIM JONG-UN AS being just THE SAME
we all know that KJU is a POS & A MURDERER 
THIS IS THE MAN that Trump seems to be proud of comparing himself to ... that should tell you everything you need to know",,1,3,8,,https://twitter.com/maryderrickart/status/1212407985949085697
