UserScreenName,UserName,Timestamp,Text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Elon Musk,@elonmusk,2020-01-01T06:33:47.000Z,No one suspected his disguise,,697,4.8K,73.4K,https://pbs.twimg.com/media/ENLQkiKXYAIAh-a?format=jpg&name=small,https://twitter.com/elonmusk/status/1212260614514630656
Elon Musk,@elonmusk,2020-01-01T05:32:58.000Z,Carlos Gone,,3K,19K,131.9K,,https://twitter.com/elonmusk/status/1212245306412167168
Elon Musk,@elonmusk,2020-01-01T06:50:06.000Z,Congratulations Tesla & SpaceX on great 2019! You rock!! Looking forward to epic 2020 ,♥ 🚀 🛰 🚘 ☀,2K,7.8K,158.2K,https://abs-0.twimg.com/emoji/v2/svg/2665.svg,https://twitter.com/elonmusk/status/1212264717617639424
Slashdot,@slashdot,2020-01-03T19:21:22.000Z,"Is Fry's Electronics in Trouble?Is Fry's Electronics in Trouble? - Slashdot
The tagline ""Your best buys are always at Fry's"" once blanketed Bay Area airwaves, but that's no longer true of the computer retailer's Palo Alto store. From a report: A temple of electronics known...
news.slashdot.org",,24,26,295,https://pbs.twimg.com/card_img/1349506896177352705/hWEPQGCZ?format=png&name=120x120,https://twitter.com/slashdot/status/1213178555674198017
Elon Musk,@elonmusk,2020-01-04T03:25:03.000Z,"Wow, I built my first server room with parts from Fry’s. Ending of an era.",,139,115,2.3K,,https://twitter.com/elonmusk/status/1213300278960775168
RS Tanner,@hot_rod_co,2020-01-04T03:21:17.000Z,"Tesla has now added 112,000 salespeople ... actually, its more like 110,656 salespeople - as 98.8% will recommend their car to family and friends! (Bloomberg owner survey)
@tesla
@elonmusk",🚘,48,174,3.1K,,https://twitter.com/hot_rod_co/status/1213299332872622081
Elon Musk,@elonmusk,2020-01-04T03:33:58.000Z,"People talk about the products they *love*, that touch their heart & bring moments of joy",,290,364,6.6K,,https://twitter.com/elonmusk/status/1213302526239531008
Elon Musk,@elonmusk,2020-01-04T03:35:20.000Z,"Replying to 
@annerajb
 and 
@slashdotZip2",,54,51,1.3K,,https://twitter.com/elonmusk/status/1213302866334691333
Pomp,@APompliano,2020-01-05T13:32:27.000Z,"Don’t look now, but 
@elonmusk
 and 
@Tesla
 are actually exceeding many of their ambitious goals now.

If you want to be reminded that optimists and innovators can still prevail, read this article.Take Your Victory Lap, Elon Musk
Tesla is finally meeting its deadlines, and that’s welcome news for disruptors after a rough year.
wsj.com",🌪,100,977,7.8K,https://pbs.twimg.com/card_img/1348335706884739072/ccVxR-u-?format=jpg&name=small,https://twitter.com/APompliano/status/1213815524527919104
Elon Musk,@elonmusk,2020-01-05T17:51:01.000Z,Fair piece by Stoll,,62,99,2.9K,,https://twitter.com/elonmusk/status/1213880594200817664
Elon Musk,@elonmusk,2020-01-05T00:35:42.000Z,Wikigenius,,1.9K,29.9K,293.4K,https://pbs.twimg.com/media/ENelARzU0AA6Wxi?format=jpg&name=small,https://twitter.com/elonmusk/status/1213620051770671104
Elon Musk,@elonmusk,2020-01-05T17:23:17.000Z,"Replying to 
@Model3OwnersOk",,180,200,5K,,https://twitter.com/elonmusk/status/1213873615445217282
Elon Musk,@elonmusk,2020-01-05T18:08:31.000Z,"Replying to 
@7400N
 and 
@Model3OwnersOk",,104,100,3.1K,,https://twitter.com/elonmusk/status/1213884998681448449
