UserScreenName,UserName,Timestamp,Text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Donald J. Trump,@realDonaldTrump,2020-01-01T01:22:28.000Z,"Our fantastic First Lady!Quote Tweet
Melania Trump
@FLOTUS
US government account
 · Dec 31, 2019
#2019 was a successful year! It was a privilege to meet so many incredible people. As we head into the New Year, I will continue speaking with children and encouraging them to #BeBest
2:00
2.7M views",,12.2K,25.2K,118.2K,https://pbs.twimg.com/profile_images/848946510918295557/RmsOl1zv_mini.jpg,https://twitter.com/realDonaldTrump/status/1212182267113680896
Donald J. Trump,@realDonaldTrump,2020-01-01T01:30:35.000Z,HAPPY NEW YEAR!,,51.6K,81.9K,523K,,https://twitter.com/realDonaldTrump/status/1212184310389850119
Donald J. Trump,@realDonaldTrump,2020-01-01T01:03:15.000Z,"Thank you to the 
@dcexaminer
 Washington Examiner. The list is growing every day!Quote Tweet
Dan Scavino
@DanScavino
 · Jan 1
“Trump list shows 319 'results' and promises kept in three years”
#MAGA
#KAG
 #HNY2020
 https://washingtonexaminer.com/washington-secrets/exclusive-trump-list-shows-319-results-and-promises-kept-in-three-years…",🦅 🎉,1.8K,9.1K,33.9K,https://pbs.twimg.com/profile_images/1284244858677473280/eWVs2LuX_mini.jpg,https://twitter.com/realDonaldTrump/status/1212177432452698115
Donald J. Trump,@realDonaldTrump,2020-01-01T01:22:28.000Z,"Our fantastic First Lady!Quote Tweet
Melania Trump
@FLOTUS
US government account
 · Dec 31, 2019
#2019 was a successful year! It was a privilege to meet so many incredible people. As we head into the New Year, I will continue speaking with children and encouraging them to #BeBest
2.7M views
0:00 / 2:00",,12.2K,25.2K,118.2K,https://pbs.twimg.com/profile_images/848946510918295557/RmsOl1zv_mini.jpg,https://twitter.com/realDonaldTrump/status/1212182267113680896
Donald J. Trump,@realDonaldTrump,2020-01-01T01:16:27.000Z,"Thank you Steve. The greatest Witch Hunt in U.S. history!Quote Tweet
Steve Daines
@SteveDaines
 · Dec 19, 2019
It’s time for the Senate to end this partisan, impeachment sham once and for all.
0:17
2.2M views",,4.1K,11.1K,44.3K,https://pbs.twimg.com/profile_images/922463090935058432/XTchDLbm_mini.jpg,https://twitter.com/realDonaldTrump/status/1212180752936374275
Donald J. Trump,@realDonaldTrump,2020-01-01T01:16:27.000Z,"Thank you Steve. The greatest Witch Hunt in U.S. history!Quote Tweet
Steve Daines
@SteveDaines
 · Dec 19, 2019
It’s time for the Senate to end this partisan, impeachment sham once and for all.
0:15
2.2M views",,4.1K,11.1K,44.3K,https://pbs.twimg.com/profile_images/922463090935058432/XTchDLbm_mini.jpg,https://twitter.com/realDonaldTrump/status/1212180752936374275
Donald J. Trump,@realDonaldTrump,2020-01-02T13:42:42.000Z,"....it’s alienating independents. This President is being persecuted over three years with one investigation after another, and that really plays to his base.” 
@FoxNews
  @cvpayne
  Their partisan Witch Hunt is hurting our Country do badly, & only bringing more division than ever!",,5.7K,12.6K,56.1K,,https://twitter.com/realDonaldTrump/status/1212730940197351425
Donald J. Trump,@realDonaldTrump,2020-01-02T13:58:02.000Z,"....had happened to a Presidential candidate, or President, who was a Democrat, everybody involved would long ago be in jail for treason (and more), and it would be considered the CRIME OF THE CENTURY, far bigger and more sinister than Watergate!",,17K,23.2K,95.7K,,https://twitter.com/realDonaldTrump/status/1212734798365626369
Donald J. Trump,@realDonaldTrump,2020-01-02T01:53:15.000Z,"Great job!Quote Tweet
Trump War Room
@TrumpWarRoom
 · Jan 1
No lies about a video.

No lies about who was responsible for the attack. 

No unanswered calls for help.

No dead Americans.

There will be no Benghazis on President Trump’s watch! twitter.com/LucasFoxNews/s…",,3K,13.1K,55.4K,https://pbs.twimg.com/profile_images/1109170568950095879/Q5nCWHLB_mini.png,https://twitter.com/realDonaldTrump/status/1212552402798358534
Donald J. Trump,@realDonaldTrump,2020-01-02T02:46:45.000Z,"They don’t know how to do that!Quote Tweet
Geraldo Rivera
@GeraldoRivera
 · Jan 1
Best way to start new decade is get lame partisan #impeachment behind us. It failed. Move on. Beat @realDonaldTrump fair & square.",,5.8K,14.3K,70.1K,https://pbs.twimg.com/profile_images/565927841381253120/-iHS2dYA_mini.jpeg,https://twitter.com/realDonaldTrump/status/1212565864584765440
