UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Mike Pence,@Mike_Pence,2020-07-09T17:04:22.000Z,"Thank you for the warm welcome! Pennsylvania and America know we need FOUR MORE YEARS President 
@realDonaldTrump
 in the 
@WhiteHouse
! #MAGA ",,,340,811,5.1K,"['https://pbs.twimg.com/media/Ecf-_xkXgAAmQHR?format=jpg&name=small', 'https://pbs.twimg.com/media/Ecf-_xiWoAE2VZ6?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Ecf-_xiXsAAOLHB?format=jpg&name=360x360']",https://twitter.com/Mike_Pence/status/1281272999002419201
Akaspyderlady,@Akaspyderlady1,2020-07-09T18:58:35.000Z,"I thought the C.A.R.E.S. Act was supposed to stop people from losing everything....
@USTreasury
 @WhiteHouse
 @GovSisolak
 @GigAdvocacy
 @TriciaKean
 
#NVnotpayingPUA",,,2,11,23,[],https://twitter.com/Akaspyderlady1/status/1281301743523917825
Lucia,@LifeByLasergirl,2020-07-09T18:56:28.000Z,"We don't ask for open borders, we only wish to see our partners & family after months of separation. #LoveIsEssential #LoveIsNotTourism

Since we have testing capacities & quarantine on hand - 
@WhiteHouse
, 
@AndrejBabis
, 
@strakovka
, why not to set exceptions for long-term couples?",,♥,,13,23,[],https://twitter.com/LifeByLasergirl/status/1281301211568881664
Kevin H. Sharp,@KevinHSharp,2020-07-09T18:03:09.000Z,"Clemency for Leonard Peltier would also be a historic step. #FreeLeonardPeltier 
@IndianCommittee
 @TomColeOK04
 @RepMullin
 @IvankaTrump
 @jaredkushner
 @JaRonSmith45
 @PeltierHQ
 @SenatorRounds
 @FLOTUS
 @ChairmanAzure
 @indianz
 @genesimmons
 @Leonard_Pod
 @WhiteHouse
 @WesleyStudi
 @tantooC","Archive: Senator Tom Udall
@SenatorTomUdall
 · Jul 9, 2020
While no court decision can correct centuries of injustice committed against Indigenous people, today’s ruling is a historic step toward safeguarding Tribal sovereignty for decades to come.
Show this thread",,2,12,15,['https://pbs.twimg.com/profile_images/847475846944182272/HKMEaecM_mini.jpg'],https://twitter.com/KevinHSharp/status/1281287791100510208
Stella Tinucci,@StellaTinucci,2020-07-09T16:23:53.000Z,"THIS then hear us and exempt loved ones  #LiftTheTravelBan #DoItLikeDenmark #DoItLikeAustria 
@SecPompeo
 @SecAzar
 @VP
 @WhiteHouse
 @KarenBassTweets","EU in the U.S.
@EUintheUS
 · Jul 9, 2020
""In a democracy, it is citizens who are supposed to be observing the actions & thoughts of governments everyday--not governments who are supposed to be observing the thoughts & actions of the citizens. If we go there, we have flipped democracy on its head""

- @EUAmbUS, #EUDefense",👇 ✈,,5,10,"['https://pbs.twimg.com/profile_images/1412476712579964937/gmEUYuER_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1281261722284822528/pu/img/dremVPpGVAQvANDO.jpg']",https://twitter.com/StellaTinucci/status/1281262809783758848
Manny Ortega,@presidentmanny,2020-07-09T06:40:25.000Z,"170 Years Ago Today, on #ThisDayInHistory, after just 16 months in office, #President #ZacharyTaylor dies at the 
@WhiteHouse
 after a brief illness on the evening of July 9, 1850  
@WhiteHouseHstry
 #POTUS #POTUS12 #OldRoughAndReady #WarHero #Whig #WhiteHouse #WhiteHouseHistory",,🧢,,3,5,['https://pbs.twimg.com/media/EcdtYhDXgAAqFt3?format=jpg&name=small'],https://twitter.com/presidentmanny/status/1281115978676527104
Ricardo Don Juan,@RicardoDonJuan1,2020-07-09T01:07:50.000Z,"#PaulManafort needs to go back to prison before our kids go back to school!!!!! 
@realDonaldTrump
 
@WhiteHouse","Brian J. Karem
@BrianKarem
 · Jul 8, 2020
NOW: My question - If it’s safe to send kids back to school is it safe to send Manafort back to prison. Walk off. No answer. @realDonaldTrump @PressSec",🌊 🌊 🌊 ⚾ 🏈 ♿ 📏 💻 🐏,,4,3,"['https://pbs.twimg.com/profile_images/1392917924080463880/Z94wm9fj_mini.jpg', 'https://pbs.twimg.com/media/Ecbt8GoXsAQmnfF?format=jpg&name=small']",https://twitter.com/RicardoDonJuan1/status/1281032280832528384
osinachi_um,@OsinachiUm,2020-07-09T13:43:32.000Z,"Act of terrorism and justice for Barr Ejiofor is justice for All. 
@Amaka_Ekwo
 @EmekaGift
 @StateDept
 @WhiteHouse
 @white_mosco
 @EU_Commission
 Barhttps://twitter.com/OkwuPlus/status/1281170338404093952/video/1",,,,30,15,[],https://twitter.com/OsinachiUm/status/1281222456766857220
Anne Pfitzer,@AnnePfitzer,2020-07-09T19:21:22.000Z,"Ending America’s relationship with 
@WHO
 is reckless, especially during the global #COVID19 pandemic and while women & children still lack access to healthcare. Congress: #WeNeedWHO. Pls stand up and oppose the 
@WhiteHouse
’s move!  
@BenCardinforMD
 @ChrisVanHollen
 @RepRaskin",,,,3,9,['https://pbs.twimg.com/media/EcgduCRXsAkpm-a?format=jpg&name=small'],https://twitter.com/AnnePfitzer/status/1281307474432311304
Kellie,@JustDutchie,2020-07-09T15:03:36.000Z,"#GESTAPOTACTICS 
@SenSusanCollins
 @realDonaldTrump
 @FoxNews
 
@GOP
 @WhiteHouse
 @Mike_Pence
 
           MAINE
SUPPORT & ELECT SARA GIDEON
#Dems4USA 
#LincolnProject 
#BlackLivesMatter 
#FlipTheSenateBlue 
#VoteBlueToSaveAmerica 
#ThatsWhatImSaiyan 
#VVII",,⚡ ⚡ 🚨 🚨 📣 🌀 🌈 ☀ 🗽 🌊 🌊 🚀 💥,,5,5,['https://pbs.twimg.com/media/EcfjWkIWAAAE-yo?format=jpg&name=small'],https://twitter.com/JustDutchie/status/1281242604953313281
Media :STANCITYWORLD#MNK™©,@stancity44,2020-07-09T11:54:22.000Z,"The criminal Nigeria authorities 
@MobilePunch
 @Mike_Pence
 @FBI
 @WhiteHouse
 this is the reason Biafra freedom must come. They use the money to sponsor terrorism in Nigeria 
@realDonaldTrump
 @StateDept
  @INTERPOL_HQ
 @cnni",,📝 🎥 🌎,,16,7,['https://pbs.twimg.com/media/EcdjP4NXQAUPy4c?format=jpg&name=small'],https://twitter.com/stancity44/status/1281194983110971392
Shem Ortiz,@CapeWonderBat,2020-07-09T00:18:04.000Z,"Ok 
@WhiteHouse
 @realDonaldTrump
 @IvankaTrump
 @PressSec
 @kayleighmcenany
 @PFPAOfficial
 @DeptofDefense
 @PentagonPresSec
 @CIA
 @FBI
 Merge 
@USAA
 and 
@TheVIPKIDLife
 both together. Make American immigrants teach US soldiers how to speak another language. Stationed in another country =)",GIF,,,4,5,['https://pbs.twimg.com/tweet_video_thumb/EccYrBdUEAADKpl.jpg'],https://twitter.com/CapeWonderBat/status/1281019753260150785
Manny Ortega,@presidentmanny,2020-07-09T07:30:19.000Z,"55 Years Ago Today, on #ThisDayInHistory, #ThurgoodMarshall visits with #President #LyndonBJohnson at the 
@WhiteHouse
 to speak about his #SolicitorGeneral appointment on July 9, 1965  #CivilRights #NAACP #SCOTUS #SupremeCourt #LBJ #LBJLibrary #MrCivilRights #scotushistory",,🧢,,,4,['https://pbs.twimg.com/media/Ecd0KLXXYAArROM?format=jpg&name=small'],https://twitter.com/presidentmanny/status/1281128533675454464
Medical Students for a Sustainable Future,@MS4SF,2020-07-09T21:13:12.000Z,"What better bargain could there be than supporting 
@WHO
 in the middle of the #COVID19 pandemic? Annually 
@WhiteHouse
 spends on the WHO little more than what an average U.S. hospital brings in in net patient revenues. Write Congress NOW to #SaveWHO at http://protecthealthnow.org/fundwho",,,1,1,2,['https://pbs.twimg.com/media/Ecg32QWUcAAl7Lj?format=png&name=small'],https://twitter.com/MS4SF/status/1281335620862767104
Robyn Sanderson,@astrorobyn,2020-07-09T17:17:39.000Z,"The outrageous action by 
@ICEgov
 to target #internationalstudents on F-1 & M-1 visas is cruel & unnecessary, endangers students, & puts the future of American innovation at risk. I urge 
@SenToomey
 to push back against this regressive rule by the 
@whitehouse
.",,,,,5,[],https://twitter.com/astrorobyn/status/1281276343334973440
Naomi Narvaiz,@nytxnn,2020-07-09T19:45:41.000Z,"I was invited by the 
@WhiteHouse
  to watch 
@potus
 as he speaks about ""an executive order launching the White House Hispanic Prosperity Initiative.  Thank you, President Trump! 
@realDonaldTrump
 #MAGA #LatinosForTrump #leadright","Live | The White House
LIVE White House events and press briefings with President Joe Biden, Vice President Kamala Harris and other administration officials.
whitehouse.gov",,,2,2,['https://pbs.twimg.com/card_img/1411609587309027329/tAD5w363?format=jpg&name=small'],https://twitter.com/nytxnn/status/1281313597260431360
Maxi,@kfmaxi,2020-07-09T21:20:34.000Z,"Very few people will take the risk anyway: those who want to see their partner after 118+ days! Europeans don’t pose a threat to you, let them in! 
@SecPompeo
 @SecAzar
 @WhiteHouse
 @GermanyinUSA
 @VP
  @Mike_Pence
 @JoeBiden
 @SenateGOP
 @SenateDems
 #LoveIsNotTourism #LiftTheTravelBan","Celeste McLeod
@Cjmleo1791
 · Jul 9, 2020
DATA DRIVEN LOGICAL QUESTION.. FAUCI “If I were a European I’d say “WHY ARE YOU STILL BANNING EUROPEANS from coming to US?” @SecPompeo @SecAzar @VP WHY ARE YOU? 1000s International unmarrieds, familes SEPARATED 118+d. #LiftTheTravelBan SCIENCE NOT POLITICS https://abcnews.go.com/fivethirtyeight/video/fauci-travel-restrictions-pandemic-eu-ban-fivethirtyeight-71697627…",♥,1,,5,['https://pbs.twimg.com/profile_images/1282517215737196544/Ye7lkkMM_mini.jpg'],https://twitter.com/kfmaxi/status/1281337474254540801
