UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
The Daily Beast,@thedailybeast,2015-04-01T20:51:04.000Z,Rogue U.S. agents allegedly took down the world's largest Bitcoin exchange. http://thebea.st/1xVA5Oe,"Le média suivant comprend des contenus potentiellement sensibles. Modifier les paramètres
Voir",,,20,8,[],https://twitter.com/thedailybeast/status/583371021866139648
Pantera Capital,@PanteraCapital,2015-04-01T22:18:11.000Z,#Bitcoin as a superior utility for law enforcement—the Silk Road corruption investigation: http://coincenter.org/2015/04/silk-road-corruption-case-shows-how-law-enforcement-uses-bitcoin/…,,,1,27,22,['https://pbs.twimg.com/media/CBigysaUoAA2p6y?format=png&name=small'],https://twitter.com/PanteraCapital/status/583392944922570752
thebitcoinshark,@thebitcoinshark,2015-04-01T23:16:16.000Z,Bitcoin Trading Testing 1500 Chinese Yuan (CNY) http://bit.ly/1FiWNzw #BitcoinAnalysis #BitcoinTrading #News,,,,1,,[],https://twitter.com/thebitcoinshark/status/583407560029409280
CCN - Capital & Celeb News,@CapitalAndCeleb,2015-04-01T23:48:43.000Z,Bitcoin Event: State of Digital Money Conference to be Held in LA in April https://cryptocoinsnews.com/bitcoin-event-state-digital-money-conference-held-la-april/… #Bitcoin,,,,16,,['https://pbs.twimg.com/media/CBi1gp-WIAErf7t?format=jpg&name=small'],https://twitter.com/CapitalAndCeleb/status/583415726368751616
Skutch,@1constitution,2015-04-01T22:31:31.000Z,"Collective ♪♫ Change
http://skutch.com.au/Change.mp3 
#crowfunding #bitcoin #socialmedia #indiemusic #comedy #Aquarius #Lunaeclipse",,,,1,2,[],https://twitter.com/1constitution/status/583396299610820608
BitcoinCuba,@BitcoinCuba,2015-04-01T22:19:57.000Z,"The Cuban Money Crisis http://bloom.bg/1EDkepT

#Bitcoin will help Cuban entrepreneurs avoid a economic crisis #Cuba",,,,1,4,['https://pbs.twimg.com/media/CBihMeOVEAIQ4kv?format=png&name=small'],https://twitter.com/BitcoinCuba/status/583393388151480320
Bitcoin,@Bitcoin,2015-04-01T23:38:05.000Z,PeerNova Increases Total Financing to $19 million,"PeerNova Increases Total Financing to $19 million | PeerNova PeerNova Increases Total Financing to...
San Jose, California – PeerNova, Inc. announced today that online retailer Overstock.com, Inc. (NASDAQ: OSTK) has invested in PeerNova to complete the second tranche of its Series A financing....
peernova.com",,,13,,['https://pbs.twimg.com/card_img/1424710227014922241/bSp10fFk?format=png&name=small'],https://twitter.com/Bitcoin/status/583413050646093824
Bitcoin Master,@drei4u,2015-04-01T23:11:52.000Z,We're at #Bitcoin key support levels,,,1,1,1,['https://pbs.twimg.com/media/CBitDRpUsAADqbN?format=png&name=small'],https://twitter.com/drei4u/status/583406453433565184
CoinLook,@CoinLook,2015-04-01T23:42:06.000Z,Treasury Report: UK's Bitcoin Startups React – CoinDesk http://ift.tt/1MC5A6k #Bitcoin,,,,4,2,[],https://twitter.com/CoinLook/status/583414063427903490
M1SHO,@in7ane7,2015-04-01T23:36:05.000Z,#bitcoin #dump #rekt  The dump is near !,,,2,1,2,[],https://twitter.com/in7ane7/status/583412546763362306
CryptoCannon,@CryptoCannon,2015-04-01T21:31:53.000Z,"Hey 
@TheCoinCave
, your mention has just been served up to hundreds of #CryptoCurrency & #Bitcoin enthusiasts at","Crypto Community
Turn data collection into an experience with Typeform. Create beautiful online forms, surveys, quizzes, and so much more. Try it for FREE.
crypto.typeform.com",,,8,3,['https://pbs.twimg.com/card_img/1423344963169906689/IGWP2kDR?format=png&name=360x360'],https://twitter.com/CryptoCannon/status/583381292408012800
Crowdfunding,@crowdclan,2015-04-01T23:32:30.000Z,More and more #crowdfunding platforms are turning to #Bitcoin. http://dld.bz/dnxuW,,,,3,4,[],https://twitter.com/crowdclan/status/583411647160651777
Syscoin,@syscoin,2015-04-01T22:22:00.000Z,"Can a #decentralized #bitcoin blockchain based Social Network replace #facebook and #twitter? 
http://buff.ly/1yy9CBh #fintech #syscoin $SYS",,,,6,7,[],https://twitter.com/syscoin/status/583393905082761217
Cash Clamber,@CashClamber,2015-04-01T23:23:16.000Z,"No one is a virgin, the world screws us all.  #bitcoin #edtech #womeninbiz",,,,2,,[],https://twitter.com/CashClamber/status/583409324988456960
Bitcoin Canada,@CanadaBitcoin,2015-04-01T23:22:05.000Z,We might bring a #BitcoinATM to Blue Dog's #bitcoin launch event in #Montreal --- > http://on.fb.me/1BBnUBl,,,,2,1,[],https://twitter.com/CanadaBitcoin/status/583409024076513280
Bitcoin Matin,@bitcoinmatin,2015-04-01T23:26:38.000Z,#Scoop #Bitcoin: Le monopole du bitcoin sur les devises Internet http://bit.ly/1FiYm0h,,,,,,[],https://twitter.com/bitcoinmatin/status/583410170497204224
CryptoCannon,@CryptoCannon,2015-04-01T22:04:20.000Z,"Hey 
@AJC4others
, your mention has just been served up to hundreds of #CryptoCurrency & #Bitcoin enthusiasts at","Crypto Community
Turn data collection into an experience with Typeform. Create beautiful online forms, surveys, quizzes, and so much more. Try it for FREE.
crypto.typeform.com",,,3,2,['https://pbs.twimg.com/card_img/1423344963169906689/IGWP2kDR?format=png&name=360x360'],https://twitter.com/CryptoCannon/status/583389457568677889
Anonymous,@YourLocalAnon,2015-04-01T23:05:57.000Z,Current price of Bitcoin is $247.49.,,,,1,2,[],https://twitter.com/YourLocalAnon/status/583404966620110849
Magnr,@magnr,2015-04-01T22:33:16.000Z,Milton Friedman predicted #bitcoin back in 1999 - what would you do if you could travel back to the 90s?,,,,7,5,['https://pbs.twimg.com/media/CBikPlYW0AAVNmA?format=png&name=small'],https://twitter.com/magnr/status/583396739698294784
Forex Trading Bots,@FxTradingBot,2015-04-01T22:45:02.000Z,Smashing #Forex Boundaries.. Trading #Bitcoin automatically! http://bit.ly/VsaPNA #Investing,,,,4,,[],https://twitter.com/FxTradingBot/status/583399699933077504
VeriCoin,@VeriCoin,2015-04-01T22:35:10.000Z,[Development] #PoST working like a charm on TestNET - https://vericoinforums.com/threads/work-in-progress.576/…  $VRC #FinTech #BlockChain #BitCoin,,,1,12,14,['https://pbs.twimg.com/media/CBikrRYW4AAj7W5?format=jpg&name=small'],https://twitter.com/VeriCoin/status/583397217903468544
Daniel Cawrey,@danielcawrey,2015-04-01T21:50:09.000Z,"Bitcoin goes over 125,000 blockchain transactions in one day for the first time. http://zapchain.com/a/Eb8kOnmFu8",,,2,9,10,['https://pbs.twimg.com/media/CBiaX5-WoAANknJ?format=png&name=small'],https://twitter.com/danielcawrey/status/583385887456776193
SoZialia,@SoZialia,2015-04-01T20:48:41.000Z,Feds Nabbed For Big Bitcoin Heist Involving Gox And Silk Road http://tcrn.ch/1InN0sq,,,,,,[],https://twitter.com/SoZialia/status/583370419454906368
Matthew John Ritchie,@OpenECommunity,2015-04-01T22:59:17.000Z,"#fintech what service would you want to provide?

P2P Lending/Savings
Insurance
#Bitcoin Current Acc
Cooperative Whole Life Business Acc",,,,6,2,[],https://twitter.com/OpenECommunity/status/583403285454925825
Bitcoin MENA بيتكوين,@BitcoinMENA,2015-04-01T22:02:08.000Z,ESPN: St Petersburg Bowl to Drop Bitcoin Branding - The 2015 edition of the St Petersburg Bowl will not be known a... http://ow.ly/2WNAyR,,,,1,1,[],https://twitter.com/BitcoinMENA/status/583388904109281281
CCN - Capital & Celeb News,@CapitalAndCeleb,2015-04-01T23:09:42.000Z,Bitcoin Trading Testing 1500 Chinese Yuan (CNY) https://cryptocoinsnews.com/bitcoin-trading-testing-1500-chinese-yuan-cny/…,,,,13,,['https://pbs.twimg.com/media/CBislN9W4AAyPPU?format=jpg&name=small'],https://twitter.com/CapitalAndCeleb/status/583405909398945793
CRYPTOCURRENCYTALK,@cryptocointalk,2015-04-01T23:55:17.000Z,#ESPN: St Petersburg Bowl to Drop #Bitcoin #Branding http://coinde.sk/1CylVkP #BTC $XBT,,,,4,1,[],https://twitter.com/cryptocointalk/status/583417382225448960
Qntra,@qntra,2015-04-01T23:15:49.000Z,"Obama Orders War On Computing And Bitcoin With New ""Emergency"" Order (Full Text): Today United States Presiden... http://bit.ly/1BOahyS",,,,7,7,[],https://twitter.com/qntra/status/583407449710862337
Bobby Ong,@bobbyong,2015-04-01T23:01:04.000Z,How does the Bitcoin logo make you feel? http://buff.ly/1bMJrBM,,,,1,3,[],https://twitter.com/bobbyong/status/583403737567391744
SilverDoctors.com,@SilverDoctors,2015-04-01T23:03:49.000Z,"Harvey Organ: Gold & Silver Spike, Greece Threatens to Leave Euro for Bitcoin! http://silverdoctors.com/harvey-organ-gold-silver-spike-greece-threatens-to-leave-euro-for-bitcoin/…",,,1,3,3,[],https://twitter.com/SilverDoctors/status/583404430172692480
ETFereum,@etfereum_,2015-04-01T23:57:25.000Z,#bitcoin #inglês Executive Order Signed by Barack Obama: 'Blocking the Property of Certain Persons Engaging in Sig… http://ift.tt/1Dq5hYd,,,,1,,[],https://twitter.com/etfereum_/status/583417918362365952
DeFi Bigot (3675.eth),@CryptoBigot,2015-04-01T20:48:44.000Z,"Best of #bitcoin:  Starting in June 2014 CryptoRats are travelling the World by 'Virtual Proxy' -... http://bit.ly/1p8A6YT
 #Bitcoin101",,🦇 🔊 🌖,,,1,[],https://twitter.com/CryptoBigot/status/583370434936078337
CRYPTOCURRENCYTALK,@cryptocointalk,2015-04-01T23:55:57.000Z,#Bitcoin #Advocates Back Petition for #BitLicense Safe Harbor Provision http://coinde.sk/1Gh5VGu,,,,5,,[],https://twitter.com/cryptocointalk/status/583417547212648448
FINTECHNA,@fintechna,2015-04-01T23:45:28.000Z,"RT syscoin: Can a #decentralized #bitcoin blockchain based Social Network replace #facebook and #twitter? 
http://buff.ly/1yy9CBh  #fintec…",,,,,2,[],https://twitter.com/fintechna/status/583414908622102530
Matthew John Ritchie,@OpenECommunity,2015-04-01T23:10:45.000Z,Personally. I want for a business model that passes wealth to the workers in business vs the wealthy shareholders. #bitcoin #FinTech #coop,,,,,2,[],https://twitter.com/OpenECommunity/status/583406174512492544
digitalundivided,@digundiv,2015-04-01T23:08:13.000Z,Good Reads: Feds Nabbed For Big Bitcoin Heist Involving Gox And Silk Road http://digundivi.de/1xzxGZi,,,,1,1,[],https://twitter.com/digundiv/status/583405536563089409
Guy Lepage,@guylepage3,2015-04-01T22:25:08.000Z,We're growing.. New office digs! #onename #biggeroffice #office #blockchain #bitcoin #cryptography… https://instagram.com/p/08vDk5DhQp/,,,,,5,[],https://twitter.com/guylepage3/status/583394694656294912
