UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Manal Bernoussi,@ManalBernoussi,2020-04-01T17:00:33.000Z,"2 new African countries have confirmed cases of COVID-19; Sierra Leone and Burundi. 49 African countries are currently affected with a total of 5,786 confirmed cases vs 868,821 worldwide.

#FlattentheCurve #StayAtHome  #AfricaPrepares #AfricaResponds",,,,,3,['https://pbs.twimg.com/media/EUiIu0IXkAIu82F?format=jpg&name=small'],https://twitter.com/ManalBernoussi/status/1245395640831574025
Ghita Tazi,@Ghitazi,2020-04-01T19:39:51.000Z,"COVID-19 
Le nombre des nouveaux cas est en baisse.
** Du 28 au 29 mars : 104 cas
** Du 29 au 30 mars : 71 cas
** Du 30 au 31 mars : 68 cas
** Du 31 mars au 1er avril : 40 cas

#COVID19 #بقا_فدارك",,,1,,5,[],https://twitter.com/Ghitazi/status/1245435730966519809
imane benzarouel,@ImaneBenzarouel,2020-04-01T19:44:02.000Z,"BCEAO, intéressantes mesures prises pour encourager les paiements mobiles et contrecarrer certaines suites du #covid19. Bravo à toute l’équipe derrière. #inclusionfinanciere #financialinclusion #mobilepayment","Quote Tweet
Jacqueline Niffone
@Niffone_J_D
 · Apr 1, 2020
Communiqué de la @BCEAO_Officiel - Promotion des paiements électroniques # mesures crise sanitaire #Covid-19 @sogued @NewsAFI @ImaneBenzarouel @Naboufall @cinalawson @MazamessoA @fnfi_togo @afpfr @Financialafrik @AfDB_Group @FSDAfrica @KamissaCamara @AurelieASZ @artcitic",,,1,1,"['https://pbs.twimg.com/profile_images/1346692179079688194/RuWbfrm-_mini.jpg', 'https://pbs.twimg.com/media/EUia471XQAM8kYQ?format=jpg&name=small', 'https://pbs.twimg.com/media/EUia5vaWAAAX5z3?format=jpg&name=small']",https://twitter.com/ImaneBenzarouel/status/1245436781362851842
Aoufoussi,@Aoufoussi1,2020-04-02T11:24:36.000Z,"Replying to 
@CMGM11214604","Good.

Vigilants,intelligents et solidaires pour vaincre covid-19 et son impact.

Great.",,,,2,[],https://twitter.com/Aoufoussi1/status/1245673481553002497
Saoud Ayoub,@SaoudAyoub,2020-04-02T18:31:42.000Z,#COVID19 #callcenter,,,,,1,"['https://pbs.twimg.com/media/EUnnIXQXYAID7Hi?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EUnnIXcXkAEgs6A?format=jpg&name=360x360']",https://twitter.com/SaoudAyoub/status/1245780967907868673
Saoud Ayoub,@SaoudAyoub,2020-04-02T17:49:18.000Z,#callcenter #Covid_19,,,,,2,"['https://pbs.twimg.com/media/EUndIzIXYAIlMMX?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EUndIzrWkAAQNZd?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EUndIzdWoAAJIVg?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EUndI0FWoAQT7lw?format=jpg&name=360x360']",https://twitter.com/SaoudAyoub/status/1245770295153242112
Saoud Ayoub,@SaoudAyoub,2020-04-03T11:48:11.000Z,"I just signed a 
@theactionnet
 petition: Protect employees from COVID-19 at Teleperformance contact centres. Sign here:","Protect employees from COVID-19 at Teleperformance contact centres
Teleperformance must do better to protect employees during the COVID-19 pandemic.  Currently,  the company’s workers—who provide customer support for clients like Apple, Amazon, Google, Netflix, and...
actionnetwork.org",,,1,1,[],https://twitter.com/SaoudAyoub/status/1246041805461782528
"MasaidBin |
| مسعدبن",@UN_YEMEN,2020-04-03T00:16:16.000Z,"Because of #COVID19, the US economy is collapsing and countries of the world should buy gold instead of the dollar
#usaCoronavirus #USA #USeconomy 
@realDonaldTrump
 @USAbilAraby
 @PDChinaLife",,,,,,[],https://twitter.com/UN_YEMEN/status/1245867680550141954
Ayoub,@saayoub1,2020-04-03T10:54:33.000Z,#Covid_19 #coronavirus #Afrique,,,,,,['https://pbs.twimg.com/media/EUrIIshU4AIROw4?format=jpg&name=small'],https://twitter.com/saayoub1/status/1246028309856759809
Moulay Hafid Elalamy,@MyHafidElalamy,2020-04-02T20:33:53.000Z,"Le Ministère de l'Industrie a fédéré des compétences marocaines pour la fabrication d'un respirateur 100% marocain, en application des Hautes Instructions Royales de mobiliser tous les moyens pour faire face à la pandémie Covid-19.",,,221,553,2.1K,['https://pbs.twimg.com/ext_tw_video_thumb/1245811409671380992/pu/img/KwGzZUWHumWWxHoJ.jpg'],https://twitter.com/MyHafidElalamy/status/1245811714890792967
