UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Dragow #JusticePourSteve #Rouen #Elisa #Cedric,@dragowxx,2020-04-01T23:59:06.000Z,Quand c'est pas un sondage OPIF pour BFM ou autre IFLOP pour le JDD .... ça picote grave !!! #Macron #OnOublieraPas #RendLesComptes #COVIDー19 #COVID19 #MediasPatronaux #PartiMediatique #JoueLaCommeRouen,,🧐,,19,18,"['https://pbs.twimg.com/media/EUjnIA_XYAAIIpH?format=jpg&name=small', 'https://pbs.twimg.com/media/EUjnJrAWsAQ07Ok?format=jpg&name=small']",https://twitter.com/dragowxx/status/1245500971305914370
FR24 NEWS,@FR24NewsFrance,2020-04-01T23:59:09.000Z,"Coronavirus: 8 morts au foyer de soins de l’est de Toronto, 69 cas confirmés et probables de COVID-19 https://fr24news.com/fr/a/2020/04/coronavirus-8-morts-au-foyer-de-soins-de-lest-de-toronto-69-cas-confirmes-et-probables-de-covid-19.html…",,,,,,['https://pbs.twimg.com/media/EUjoi4oXQAIhwrM?format=jpg&name=small'],https://twitter.com/FR24NewsFrance/status/1245500984589275140
Robert Constantin,@RobertConstan15,2020-04-01T23:59:48.000Z,"COVID-19: Dieu, le Fils, va guérir les amis de Dieu, le Père.",,,,,,['https://pbs.twimg.com/media/EUjoq1eWsAc1B9T?format=png&name=small'],https://twitter.com/RobertConstan15/status/1245501147911278593
FR24 NEWS,@FR24NewsFrance,2020-04-01T23:58:12.000Z,"COVID-19: D’une écluse à une autre, les résidents des maisons de retraite du Canada font face à une nouvelle réalité https://fr24news.com/fr/a/2020/04/covid-19-dune-ecluse-a-une-autre-les-residents-des-maisons-de-retraite-du-canada-font-face-a-une-nouvelle-realite.html…",,,,,,['https://pbs.twimg.com/media/EUjoU87WsAclAjd?format=png&name=small'],https://twitter.com/FR24NewsFrance/status/1245500745396387840
BreizhQuarantine,@BzhTau,2020-04-01T23:58:47.000Z, #learn EDX vous propose plusieurs formations gratuites pour découvrir de nouveaux domaines durant le #confinement #Covid19,"edX Courses | View all online courses on edX.org
Find online courses from top universities. Search all edX MOOCs from Harvard, MIT and more and enroll in a free course today.
edx.org",💡 🔗,,,,[],https://twitter.com/BzhTau/status/1245500890691383301
Usman SAWADOGO,@Sawadogo07,2020-04-01T23:59:13.000Z,"Vu les crises sanitaires & sécuritaires qui tourmentent le #BurkinaFaso, il convient de lever le couvre-feu dans les provinces non encore touchées par le #Coronavirus. Cette mesure permettra d'éviter l'asphyxie totale de notre économie. 
@rochkaborepf
 @ChristopheDabir
 #Covid_19",,,2,1,8,[],https://twitter.com/Sawadogo07/status/1245501001878077440
Danielle Bastien,@DanielleBastie4,2020-04-01T23:58:41.000Z,"Ensemble, nous pouvons vaincre le coronavirus — mais plus vite un vaccin sera mis au point, plus de vies seront sauvées. 
@JustinTrudeau
 @KarinaGould
 engagerez-vous à aider en versant des fonds à @CEPIvaccins pour accélérer les efforts? #COVID19 #VaincreEnsemble",,,,,,[],https://twitter.com/DanielleBastie4/status/1245500864355319808
pétasse dangereuse,@flashmacqueeen,2020-04-01T23:59:23.000Z,"Si par malheur (c vrmt impossible) ya mon ex en patient en rea covid
Je débranche le respirateur artificiel wollah 
Quitte à devoir me trouver une reconversion pour faute professionnelle",,,2,,1,[],https://twitter.com/flashmacqueeen/status/1245501041472409601
Abira BONFOH,@AbiraBonfoh,2020-04-01T23:58:55.000Z,"Pandémie du covid19 au Togo : Discours du Chef de l'Etat, S.E.M. Faure E... https://youtu.be/8EgsQm7yaGQ via 
@YouTube","Pandémie du covid19 au Togo : Discours du Chef de l'Etat, S.E.M....
Pandémie du covid19 au Togo : Discours du Chef de l'Etat, S.E.M. Faure Essozimna Gnassingbé prononcé le 1er avril 2020.
youtube.com",,,,,[],https://twitter.com/AbiraBonfoh/status/1245500923310473216
Forces Armées de la Nouvelle-Calédonie (FANC),@FANC_Officiel,2020-04-01T23:57:30.000Z,"Depuis le 16 mars 2020, dans les eaux calédoniennes, la Moqueuse et le d'Entrecasteaux effectuent des missions de surveillance maritime et veillent au respect de l’arrêté concernant la navigation pris le 25 mars 2020 dans le cadre du confinement 
@COVID19
@ForcesArmeesNC",,,2,5,16,"['https://pbs.twimg.com/media/EUjoHDiUEAAzgl6?format=jpg&name=small', 'https://pbs.twimg.com/media/EUjoH4JUUAEW21z?format=jpg&name=small']",https://twitter.com/FANC_Officiel/status/1245500566559551488
