UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets,Image link,Is_Promoted
"Mark
#FSDBetaCanada",@CodingMark,2020-01-01T16:45:36.000Z,"@Tesla
 Model S gets another 'Car of the Decade' Award: 'Nothing Else Comes Close'
Props to 
@ElonMusk
 and team! #HappyNewYearTesla Model S gets another ""Car of the Decade"" Award: ""Nothing Else Comes Close""
The Tesla Model S was recently recognized as “Car of the Decade” by a sustainable transportation media outlet, and it was not a tough decision. Green Car Reports has named Tesla’s flagship sedan as...
teslarati.com",🐍 🎷,,,1,,False
Julien Laure,@JulienLaure,2020-01-01T16:36:12.000Z,"@Tesla
 Model S gets another 'Car of the Decade' Award: 'Nothing Else Comes Close'   
@KlenderJoey
   @teslarati
  #selfdriving #electricTesla Model S gets another ""Car of the Decade"" Award: ""Nothing Else Comes Close""
The Tesla Model S was recently recognized as “Car of the Decade” by a sustainable transportation media outlet, and it was not a tough decision. Green Car Reports has named Tesla’s flagship sedan as...
teslarati.com",,,,1,,False
Ken,@Ken94114423,2020-01-01T13:34:43.000Z,"@Tesla
 You're so convincing, convince Whoever not to charge for owning an electric car as per the new law. Sounds like a move by the oil companies...WHINERS",,,,,,False
Pankaj Shukla,@SHUKLAPANKAJ,2020-01-01T12:45:43.000Z,"@Tesla
 @elonmusk
 is there plan to compensate people who you hv not bn able to deliver. Booked on Nov 30, I went 8 pm today & was informed at the last min that the car was matched to incorrect config. On the other side thru out the last 8 days, I hv bn getting moving delivery date",,,,1,,False
Australian Tesla Owners,@AusTeslaOwners,2020-01-01T02:46:16.000Z,"@Tesla
 #Software #Update
2019.40.50.7 release notes.

Minor bug fixes only as expected compared to 2019.40.50.5.

My car:
#Model3Au Performance Stealth with FSD.

1/2",,1,,1,,False
.Chris a Betz. I have way to charge electric car,@ChrisaBetz3,2020-01-01T02:12:04.000Z,"Replying to 
@TeslaI have a new way to charge the electric car charges when driving no borrow no steal notice posted again.",,,,1,,False
Kevin Curtiss,@KevinCurtiss3,2020-01-01T01:28:41.000Z,"@Tesla
 failed to deliver my car by year end despite me ordering by the guranteed year end delivery date. No notification at all. Thanks a lot.",,3,4,2,,False
Thang,@whohatemeeh,2020-01-01T01:13:34.000Z,"@Tesla
 Pickup day, checked-in. Is mom Xmas present, excited. Wait for 3hrs, no one talked to us. Asked simple questions “when will car be ready?” “Where are we in the queue?” “Can we come back at night?” answers to all? “I don’t know”. Left empty handed cause mom had to work.",,,,,,False
Jen Ratko,@jrat53,2020-01-02T20:45:20.000Z,"@Tesla
 @elonmusk
 I owned my #modelx for a whole week before something went wrong to render it unsafe to drive. No loaner available yet & my brand new car is expected to be out a minimum of one week. I should’ve listened to the naysayers who said don’t buy Tesla.",,,1,1,,False
ismael,@ishhkaz,2020-01-02T20:44:11.000Z,"@Tesla
 model 3 performance model all black with auto pilot drivers manual. 
@elonmusk
 trying to send me one? The car that is.Quote Tweet
goodreads
@goodreads
 · Jan 2
What's the first book you're reading in 2020?",,1,,,,False
